train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.35,0,13,1,1136.0,0,0.295134766666713,0.58,6,42,0,993.0,26,1,-636.55206,2157.2610412279732,-41.561066,-10029.969,-440.33856,1550.0999709696146,-0.12797041,-9838.479,124.166664,125.47666,10066,20,225.81900119781494
0.45,0,11,1,795.0,0,0.29024440000009294,0.17,78,30,4,6295.0,291,2,-653.387,2153.5823179066083,-52.78116,-10027.067,-4675.1514,2763.1548346048216,-45.626312,-10025.287,139.55833,348.45,20184,40,600.2020003795624
0.25,0,15,6,4073.0,0,0.2839668666668194,0.54,33,19,1,1230.0,103,3,-3143.842,4500.335631927912,-64.86448,-10029.267,-1475.4038,2216.5674363754424,-0.0016864383,-10020.413,197.95834,184.06,33172,60,893.3439998626709
0.5,0,10,2,1360.0,0,0.27882226666686843,0.72,19,15,5,2891.0,81,4,-1100.0358,2970.427713309987,-47.302513,-10014.292,-1509.4208,2989.9795317025164,-0.00024713753,-10033.396,148.04999,176.38332,43816,80,1136.8060002326965
0.5,0,10,0,32.0,0,0.2740604666669138,0.66,30,7,0,564.0,106,5,-78.6504,36.21020444916046,-41.80088,-185.88792,-1424.5375,2330.9163863167637,-5.119443e-05,-7332.7866,118.11668,183.26166,53668,100,1396.5540010929108
0.75,0,5,1,663.0,0,0.26910146666696105,0.78,8,14,0,43.0,38,6,-593.1364,2160.879358039222,-39.975445,-10007.555,-472.13025,1566.014916914906,-7.195473e-06,-7055.1377,132.90834,129.66,63928,120,1615.7510001659393
0.65,0,7,2,1411.0,0,0.2638196000003447,0.6,0,40,0,185.0,0,7,-1098.8756,2975.692726072368,-39.160137,-10028.788,-24.738218,30.3397776751083,0.0,-128.39978,143.85832,102.43499,74856,140,1824.1760008335114
0.75,0,5,0,27.0,0,0.2591022666670563,0.78,10,15,0,490.0,49,8,-93.41304,65.92769180606128,-41.608147,-251.10655,-659.0896,1960.1478311596807,0.0,-9051.72,121.99166,139.865,84616,160,2039.7010004520416
0.7,0,6,0,79.0,0,0.25415486666710346,0.84,9,7,0,17.0,36,9,-188.59021,175.0747161928301,-35.68247,-608.1396,-463.52374,1419.1154428023112,0.0,-7127.979,134.675,132.90833,94852,180,2256.3350014686584
0.8,0,4,0,22.0,0,0.2494278666671485,0.9,2,8,0,24.0,9,10,-68.60773,30.80995488981605,-35.00792,-127.828636,-122.389725,750.2452665628754,0.0,-5955.083,117.083336,110.53,104632,200,2455.5109996795654
0.6,0,8,5,3166.0,0,0.24348673333387177,0.74,3,23,0,90.0,13,11,-2581.2449,4290.282414946596,-49.595905,-10023.991,-178.4679,893.5144542759227,0.0,-5950.2,182.55,112.98167,116924,220,2677.962000846863
0.7,0,6,2,1341.0,0,0.23869593333391742,0.81,12,7,0,18.0,51,12,-1065.3887,2991.1262093064547,-40.81297,-10039.478,-642.3734,1728.877647492731,0.0,-7139.588,140.975,140.25333,126836,240,2900.486001253128
0.7,0,6,2,1231.0,0,0.233456600000634,0.81,16,4,0,9.0,76,13,-1102.1543,2968.258209792403,-38.714466,-10007.63,-933.09937,2153.106555653946,0.0,-7198.7417,149.55002,156.47002,137676,260,3149.53400015831
0.85,0,3,1,606.0,0,0.228523700000681,0.81,5,14,0,37.0,23,14,-592.1021,2164.8766246601676,-32.867985,-10010.529,-296.7403,1219.5959986815305,0.0,-7116.313,133.95834,120.77332,147882,280,3362.098999261856
0.7,0,6,2,1266.0,0,0.22350090000072886,0.7,10,20,0,79.0,49,15,-1074.75,2980.689316248844,-31.583042,-10020.274,-616.6151,1800.691955888069,0.0,-7291.1567,142.43335,137.85834,158274,300,3577.6370005607605
0.85,0,3,1,640.0,0,0.21840173333411078,0.87,5,8,0,23.0,28,16,-583.08154,2164.6268038625044,-31.198544,-10013.052,-357.28098,1489.6768508639718,0.0,-7224.127,133.23334,123.69501,168824,320,3791.2139995098114
