train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.05,0,19,0,308.0,0,0.2952826666664407,0.16,0,84,6,7167.0,0,1,-203.22577,112.44768227936048,-39.687973,-463.47382,-716.7047,2353.115109806573,-0.0036474394,-10040.02,116.691666,110.26833,9760,20,874.197984457016
0.1,0,18,0,222.0,0,0.29070936666622166,0.17,0,83,1,2085.0,0,2,-158.65411,76.32087638303821,-43.722446,-335.1736,-208.5004,988.107848364742,-0.00036842824,-10000.002,115.70001,103.94833,19222,40,1618.7419805526733
0.2,0,16,0,195.0,0,0.28592919999932603,0.2,0,80,3,4106.0,0,3,-143.21133,117.48559087181714,-40.374046,-479.2488,-410.6,1692.9183323480197,-3.6842823e-05,-10050.0,115.17499,106.45666,29112,60,2395.2359833717346
0.05,0,19,2,2350.0,0,0.28072756666574356,0.0,46,99,72,53045.0,165,4,-1342.1792,2947.9082753708603,-44.031464,-10049.895,-9433.816,1211.6239680693016,-4108.48,-10037.164,142.29999,407.33163,39874,80,3710.3479840755463
0.15,0,17,2,1649.0,0,0.27464529999878556,0.35,55,16,0,287.0,235,5,-1450.071,2910.6902274202935,-76.37748,-10019.623,-2960.8193,2837.2093331300034,-0.43627995,-7354.176,174.8,271.09335,52458,100,5043.876980781555
0.45,0,11,0,212.0,0,0.2696669666652138,0.46,17,45,0,1565.0,75,6,-244.78,531.597756767276,-42.00812,-2521.895,-1057.4087,2327.8971798599696,-0.008387766,-9347.405,128.20833,157.52,62758,120,5896.028983592987
0.25,0,15,3,2024.0,0,0.2641202333316148,0.52,16,39,1,1426.0,67,7,-1634.0532,3526.3893148658444,-39.70394,-10035.028,-990.0772,2308.8178793486504,-0.021643221,-10008.04,155.50833,152.95334,74234,140,6901.393981218338
0.3,0,14,2,1627.0,0,0.2592849666647165,0.54,16,35,1,1010.0,70,8,-1282.884,3047.896061219936,-41.0579,-10033.7,-1005.4467,2351.213065632292,-0.00061536493,-10009.15,149.75833,155.82167,84238,160,7851.665981531143
0.5,0,10,3,2063.0,0,0.2535303999977742,0.53,22,32,0,628.0,99,9,-1691.2166,3516.6609162670206,-45.92226,-10037.361,-1259.4003,2410.904029612129,-0.046100106,-7932.71,163.12498,171.91669,96144,180,8851.351983308792
0.35,0,13,0,103.0,0,0.24884303333088303,0.43,8,51,0,236.0,35,10,-123.27189,96.83882389052441,-36.34953,-391.98187,-463.88196,1480.363685044996,-0.0005830848,-7162.977,120.475,129.28334,105842,200,9664.33398103714
0.35,0,13,2,1443.0,0,0.2437109999973039,0.49,18,38,0,1079.0,83,11,-1127.4242,2967.0373101799714,-37.794556,-10025.686,-1082.5051,2361.4617845732755,-0.0073542045,-9314.559,142.90833,160.47333,116460,220,10640.736981868744
0.45,0,11,1,716.0,0,0.23880806666373572,0.4,15,50,0,640.0,59,12,-624.6184,2163.0952822286863,-32.383087,-10033.339,-792.24646,1939.8463444304036,-0.001010381,-7213.1816,131.0,145.71333,126604,240,11560.680014371872
0.2,0,16,2,1352.0,0,0.2339689333301706,0.42,18,49,0,298.0,81,13,-1115.175,2967.1045819114634,-29.247408,-10018.71,-1020.88776,2166.211956388386,-0.0021933704,-7148.188,142.85832,160.16998,136616,260,12473.427018880844
0.3,0,14,1,744.0,0,0.2291007999966041,0.49,11,45,0,645.0,53,14,-642.10645,2160.6918336495837,-37.146534,-10004.534,-703.5496,1986.142391672863,-0.006506334,-9994.136,131.76665,140.045,146688,280,13383.12701535225
0.3,0,14,0,159.0,0,0.22454489999638588,0.58,10,34,0,181.0,45,15,-158.55081,173.16431863983988,-31.35449,-619.895,-610.48315,1788.3778571655375,-0.00031289816,-7239.319,121.875015,137.10834,156114,300,14253.20501589775
