train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.1,0,18,0,295.0,0,0.29488092000024474,0.14,0,86,0,1298.0,0,1,-3535.3354,1007.432876175877,-2301.7058,-5996.9336,-3049.0435,796.1079323810309,-2003.9038,-5803.6772,182.20833,173.75832,12230,20,293.94401478767395
0.05,0,19,0,289.0,0,0.2896031520004971,0.14,0,86,0,1294.0,0,2,-3436.601,567.3118630876671,-2396.6895,-4312.844,-3300.077,774.6181510912328,-2228.4973,-5439.1875,180.39166,179.0533,24832,40,566.1851031780243
0.05,0,19,1,405.0,0,0.28454462400073893,0.16,0,84,2,1711.0,0,3,-3745.407,1638.797363922703,-2404.481,-10053.604,-3493.4678,1219.617579407578,-2160.3674,-10159.154,178.25,177.345,36916,60,812.284383058548
0.15,0,17,1,398.0,0,0.27932184000098864,0.13,0,87,2,1489.0,0,4,-3699.8977,1710.2147233607832,-2219.8674,-10045.275,-3277.7627,1205.6944223143773,-2102.015,-10244.455,177.325,175.825,49388,80,1062.5610282421112
0.1,0,18,1,399.0,0,0.27450900000121875,0.15,0,85,1,1275.0,0,5,-3649.016,1628.449815008126,-2440.5247,-10205.011,-3098.1538,953.8534059277662,-2146.93,-10144.261,176.2,174.88164,60890,100,1303.7495374679565
0.1,0,18,1,504.0,0,0.2695402560014563,0.16,0,84,0,1128.0,0,6,-3995.4712,1731.2729998472223,-2380.9417,-10043.373,-3086.616,654.7540301517815,-2219.4895,-5243.018,176.88335,176.515,72764,120,1546.3112950325012
0.15,0,17,0,314.0,0,0.2645081760016969,0.13,0,87,2,1598.0,0,7,-3502.0195,690.1970008627972,-2303.312,-4654.4546,-3364.1772,1246.4881868674088,-2169.1006,-10226.726,180.53333,175.98666,84784,140,1787.7946498394012
0.2,0,16,3,658.0,0,0.2593716960019425,0.15,0,85,2,1531.0,0,8,-4326.126,2485.840381038171,-2364.4333,-10050.244,-3292.7798,1209.2322192201132,-2083.9678,-10169.098,172.225,175.28001,97048,160,2036.6135654449463
0.05,0,19,0,296.0,0,0.25410784800219416,0.12,0,88,1,1758.0,0,9,-3437.375,756.482980641336,-2287.8655,-6016.5747,-3430.915,1082.8889139704036,-2162.3958,-10135.338,179.99167,176.00166,109630,180,2284.588175535202
0.15,0,17,0,312.0,0,0.24891847200244227,0.13,0,87,1,1302.0,0,10,-3487.6997,1018.4841677709085,-2245.4006,-6788.711,-3032.8228,991.244994943228,-1969.3778,-10253.355,179.98334,172.985,122030,200,2526.820816040039
